job_id,job_title,salary_usd,location,work_type,experience_level,industry,company_size,skills_required,num_skills,post_date,applicants
JP-10000,Data Engineer,177000,"San Francisco, CA",Remote,Senior (6-10 yrs),Retail,Small (51-200),"Java, PostgreSQL, MySQL, Power BI, Docker, Azure",6,2025-04-21,160
JP-10001,ML Engineer,188000,"Boston, MA",Remote,Senior (6-10 yrs),Retail,Startup (1-50),"Scala, Python, MongoDB, TensorFlow, Databricks",5,2025-05-23,112
JP-10002,Data Scientist,107000,"Raleigh, NC",Remote,Senior (6-10 yrs),Consulting,Mid-Market (201-1000),"TensorFlow, R, Azure, Excel, Scikit-learn, Databricks",6,2025-04-19,145
JP-10003,Data Engineer,141000,"Denver, CO",On-Site,Mid (3-5 yrs),Technology,Mid-Market (201-1000),"Scala, Airflow, Azure, BigQuery",4,2025-11-02,90
JP-10004,ML Engineer,112000,"Dallas, TX",On-Site,Entry (0-2 yrs),Consulting,Enterprise (5000+),"PyTorch, TensorFlow, SQL, Kafka, Azure",5,2025-03-24,99
JP-10005,Senior Data Scientist,147000,"Phoenix, AZ",Hybrid,Senior (6-10 yrs),Technology,Startup (1-50),"SQL, Tableau, TensorFlow, R, Redshift, Git, Google Sheets, Spark MLlib",8,2025-08-13,78
JP-10006,Analytics Engineer,88000,"Atlanta, GA",Remote,Entry (0-2 yrs),Healthcare,Startup (1-50),"Docker, Tableau, Python, Git, Snowflake, BigQuery, Looker",7,2025-07-30,154
JP-10007,Data Scientist,100000,"Minneapolis, MN",Hybrid,Entry (0-2 yrs),Finance,Enterprise (5000+),"R, Scala, Airflow, Git, Spark MLlib, AWS, Excel, Scikit-learn",8,2025-01-31,110
JP-10008,Data Analyst,92000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Finance,Enterprise (5000+),"Scala, Tableau, Java, Redshift",4,2025-04-06,80
JP-10009,Data Analyst,87000,"New York, NY",On-Site,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"Google Sheets, Python, MySQL",3,2025-08-23,83
JP-10010,Business Analyst,70000,"Phoenix, AZ",Remote,Lead (10+ yrs),Government,Mid-Market (201-1000),"SQL, Tableau",2,2025-11-10,142
JP-10011,ML Engineer,133000,"Phoenix, AZ",Hybrid,Senior (6-10 yrs),Insurance,Large (1001-5000),"Python, GCP, TensorFlow, Airflow, PyTorch, MongoDB, SQL",7,2025-03-24,85
JP-10012,BI Analyst,46000,"Dallas, TX",Hybrid,Entry (0-2 yrs),Education,Startup (1-50),"Google Sheets, PostgreSQL, Power BI, Scikit-learn",4,2025-11-14,112
JP-10013,BI Analyst,93000,"Nashville, TN",Remote,Senior (6-10 yrs),Technology,Small (51-200),"Snowflake, MongoDB, SQL, AWS, BigQuery, Power BI",6,2025-07-24,116
JP-10014,Business Analyst,55000,"Raleigh, NC",On-Site,Mid (3-5 yrs),Finance,Small (51-200),"Tableau, Looker, GCP, AWS",4,2025-07-17,80
JP-10015,Analytics Engineer,106000,"Austin, TX",Remote,Mid (3-5 yrs),Media,Mid-Market (201-1000),"BigQuery, SQL, R, Kafka, Google Sheets, Looker, GCP",7,2025-06-05,131
JP-10016,Business Analyst,62000,"Denver, CO",Hybrid,Mid (3-5 yrs),Finance,Large (1001-5000),"R, Google Sheets",2,2025-04-12,71
JP-10017,Data Analyst,92000,"San Francisco, CA",On-Site,Mid (3-5 yrs),Finance,Large (1001-5000),"Google Sheets, Scikit-learn, Git, PostgreSQL, Docker, XGBoost, Excel",7,2025-10-08,77
JP-10018,Data Scientist,194000,"Seattle, WA",On-Site,Senior (6-10 yrs),Manufacturing,Mid-Market (201-1000),"Java, Databricks, R, Looker, XGBoost",5,2025-10-05,76
JP-10019,Data Scientist,187000,"San Francisco, CA",On-Site,Senior (6-10 yrs),Insurance,Mid-Market (201-1000),"Excel, Looker, Scala, Java",4,2025-05-20,69
JP-10020,Data Scientist,133000,"San Francisco, CA",Hybrid,Mid (3-5 yrs),Technology,Large (1001-5000),"PyTorch, Snowflake, MongoDB, Scala, Docker, Google Sheets, Tableau, BigQuery",8,2025-11-29,71
JP-10021,Data Analyst,69000,Remote,Remote,Entry (0-2 yrs),Technology,Startup (1-50),"dbt, Kafka, Excel",3,2025-03-25,191
JP-10022,ML Engineer,241000,"New York, NY",Remote,Senior (6-10 yrs),Insurance,Mid-Market (201-1000),"Docker, Google Sheets, Tableau, AWS, Python, R, PyTorch, Airflow",8,2025-09-25,102
JP-10023,ML Engineer,122000,"Chicago, IL",On-Site,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"Docker, Scikit-learn, Redshift, PyTorch, Azure, R, MongoDB, Snowflake",8,2025-07-28,91
JP-10024,Data Scientist,104000,"Phoenix, AZ",Hybrid,Mid (3-5 yrs),Media,Large (1001-5000),"R, Spark MLlib, PyTorch, MySQL, Kafka, Excel",6,2025-09-05,62
JP-10025,Business Analyst,95000,"Portland, OR",On-Site,Lead (10+ yrs),Manufacturing,Large (1001-5000),"SQL, Docker, Airflow, GCP, Looker",5,2025-08-14,86
JP-10026,Business Analyst,100000,Remote,Remote,Senior (6-10 yrs),Technology,Small (51-200),"Power BI, Git, Scala",3,2025-09-25,126
JP-10027,Business Analyst,75000,"Nashville, TN",Remote,Mid (3-5 yrs),Healthcare,Large (1001-5000),"AWS, R, Python, Tableau",4,2025-04-29,139
JP-10028,Business Analyst,60000,"Chicago, IL",On-Site,Entry (0-2 yrs),Technology,Startup (1-50),"Power BI, MongoDB, Excel, Azure",4,2025-08-28,112
JP-10029,Senior Data Engineer,173000,"Minneapolis, MN",On-Site,Senior (6-10 yrs),Technology,Mid-Market (201-1000),"Redshift, Kafka, SQL, Airflow, Databricks",5,2025-11-22,75
JP-10030,BI Analyst,97000,Remote,Remote,Mid (3-5 yrs),Finance,Mid-Market (201-1000),"Java, Excel, BigQuery",3,2025-12-03,116
JP-10031,Analytics Engineer,143000,"Atlanta, GA",Remote,Senior (6-10 yrs),Healthcare,Mid-Market (201-1000),"PostgreSQL, Git, SQL, MongoDB",4,2025-02-28,115
